 num;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
27  ;    274.07;Cl* Melotte 22 KEL 95              ;*  ;03 47 06.0 +24 09 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
28  ;    296.09;[SCG94] X 191                      ;?  ;03 47 44.8 +24 05 39                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
29  ;    297.12;CXOP J034707.5+241013              ;Q? ;03 47 07.54 +24 10 13.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
30  ;    298.24;[KRL2001] 7                        ;X  ;03 47 07.59 +24 10 16.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
31  ;    299.27;V* V646 Tau B                      ;*  ;03 47 18.0891303074 +24 02 11.886662238;     ~   ;     ~   ;     ~   ;     ~   ;~              
32  ;    299.58;V* V646 Tau                        ;Y*O;03 47 18.147480 +24 02 11.34420        ;     ~   ;15.35    ;14.03    ;13.69    ;M1.5Ve         
33  ;    299.76;V* V646 Tau A                      ;PM*;03 47 18.1610254512 +24 02 11.100805656;     ~   ;     ~   ;     ~   ;     ~   ;~              
34  ;    300.25;Cl Melotte 22 1337                 ;*  ;03 47 15.2744283432 +24 11 35.477032236;     ~   ;12.99    ;     ~   ;     ~   ;~              
35  ;    301.11;[SCG94] X 163                      ;?  ;03 47 07.3 +24 10 16                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
36  ;    308.35;Cl* Melotte 22 VM 21               ;Er*;03 47 09.1825214756 +24 03 07.822324545;     ~   ;18.33    ;16.52    ;     ~   ;~              
37  ;    308.93;2MASS J03474573+2405373            ;*  ;03 47 45.7377515568 +24 05 37.222185084;     ~   ;     ~   ;     ~   ;     ~   ;~              
38  ;    312.05;Cl* Melotte 22 DH 523              ;*  ;03 47 34.5077433273 +24 02 23.113751545;     ~   ;     ~   ;     ~   ;     ~   ;~              
39  ;    312.85;IRAS 03446+2402                    ;FIR;03 47 34.8 +24 11 36                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
40  ;    319.52;V* V535 Tau                        ;Y*O;03 47 03.5824795963 +24 09 34.870154100;     ~   ;15.93    ;14.58    ;     ~   ;K8             
41  ;    328.60;UGCS J034729.48+241219.7           ;PM*;03 47 29.4738496728 +24 12 19.945157256;     ~   ;     ~   ;     ~   ;     ~   ;~              
42  ;    330.09;Cl* Melotte 22 DH 535              ;PM*;03 47 44.0399192760 +24 03 56.539973412;     ~   ;     ~   ;     ~   ;     ~   ;~              
43  ;    345.78;Cl* Melotte 22 SHF 44              ;*  ;03 47 17.2679730000 +24 12 33.275379492;     ~   ;     ~   ;     ~   ;     ~   ;~              
44  ;    347.25;[KRL2001] 3                        ;X  ;03 47 16.98 +24 12 33.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
45  ;    347.37;CXOP J034716.9+241233              ;X  ;03 47 16.90 +24 12 33.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
46  ;    348.06;[SCG94] X 171                      ;?  ;03 47 17.1 +24 12 35                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
47  ;    357.09;Cl Melotte 22 1242                 ;*  ;03 46 58.9385496768 +24 05 21.196697388;     ~   ;12.79    ;     ~   ;     ~   ;~              
48  ;    364.83;Cl Melotte 22 1327                 ;*  ;03 47 11.1342620352 +24 12 19.520933544;     ~   ;     ~   ;13.60    ;     ~   ;~              
49  ;    367.90;CXOP J034657.3+240612              ;X  ;03 46 57.35 +24 06 12.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
50  ;    369.63;CXOP J034709.6+240146              ;Q? ;03 47 09.69 +24 01 46.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
51  ;    370.76;[KRL2001] J034659.54+240421.01     ;X  ;03 46 59.54 +24 04 21.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
52  ;    370.86;Cl* Melotte 22 ROQUE 27            ;LM*;03 47 46.9 +24 03 42                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
53  ;    381.12;[KRL2001] 10                       ;X  ;03 47 01.66 +24 10 47.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
54  ;    381.54;CXOP J034712.5+240112              ;X  ;03 47 12.53 +24 01 12.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
55  ;    382.00;CXOP J034701.5+241047              ;X  ;03 47 01.58 +24 10 47.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
56  ;    387.82;2MASS J03474638+2403025            ;Y*O;03 47 46.3873526495 +24 03 02.478409046;     ~   ;17.258   ;15.733   ;     ~   ;~              
57  ;    388.90;Cl Melotte 22 1477                 ;*  ;03 47 35.5477028136 +24 12 55.343962332;     ~   ;13.50    ;     ~   ;     ~   ;~              
58  ;    388.92;V* V794 Tau                        ;Er*;03 47 51.9037688904 +24 05 47.249843280;     ~   ;     ~   ;     ~   ;     ~   ;~              
59  ;    390.57;HAT 260-09130                      ;*  ;03 46 56.8046847192 +24 08 58.140385044;     ~   ;     ~   ;     ~   ;     ~   ;~              
60  ;    397.85;Cl* Melotte 22 ALR 513             ;*  ;03 47 46.6 +24 02 50                   ;     ~   ;12.34    ;11.11    ;     ~   ;~              
61  ;    402.98;2MASS J03471316+2400453            ;*  ;03 47 13.1676740232 +24 00 45.325175076;     ~   ;18.60    ;     ~   ;     ~   ;~              
62  ;    405.30;UCAC4 571-008667                   ;*  ;03 46 54.4235012304 +24 06 42.656259564;     ~   ;15.73    ;14.51    ;14.09    ;~              
63  ;    410.22;CXOP J034722.6+240010              ;X  ;03 47 22.65 +24 00 10.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
64  ;    410.62;[KRL2001] J034722.49+240009.89     ;X  ;03 47 22.49 +24 00 09.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
65  ;    415.25;Cl* Melotte 22 MHO 8               ;Er*;03 46 53.9572109375 +24 07 57.243630147;     ~   ;     ~   ;18.92    ;     ~   ;MV             
66  ;    416.61;[SCG94] X 173                      ;?  ;03 47 17.5 +24 13 47                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
67  ;    417.69;Cl Melotte 22 1370                 ;*  ;03 47 19.59 +24 00 06.7                ;     ~   ;13.83    ;13.2     ;     ~   ;M:             
68  ;    418.54;V* V1279 Tau B                     ;PM*;03 47 18.1342325891 +24 13 50.766111337;     ~   ;     ~   ;     ~   ;     ~   ;~              
69  ;    419.16;V* V1279 Tau                       ;BY*;03 47 18.13080 +24 13 51.3912          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
70  ;    419.33;V* V1279 Tau A                     ;PM*;03 47 18.1273116285 +24 13 51.553637326;     ~   ;     ~   ;     ~   ;     ~   ;~              
71  ;    420.35;CXOP J034657.1+240337              ;X  ;03 46 57.10 +24 03 37.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
72  ;    422.99;[KRL2001] J034703.30+241214.07     ;X  ;03 47 03.30 +24 12 14.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
73  ;    424.87;Cl* Melotte 22 BPL 130             ;*  ;03 47 11.8075281312 +24 13 30.734361588;     ~   ;     ~   ;21.44    ;     ~   ;M              
74  ;    427.88;CXOP J034701.2+240206              ;X  ;03 47 01.30 +24 02 06.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
75  ;    427.91;[KRL2001] 11                       ;X  ;03 47 01.29 +24 02 06.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
76  ;    439.54;Cl* Melotte 22 BPL 139             ;PM*;03 47 22.3722210456 +24 14 18.973846248;     ~   ;     ~   ;     ~   ;     ~   ;~              
77  ;    441.19;[SCG94] X 193                      ;?  ;03 47 46.1 +24 01 39                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
78  ;    445.01;Cl* Melotte 22 VM 36               ;*  ;03 47 48.0 +24 02 00                   ;     ~   ;16.4     ;     ~   ;     ~   ;~              
79  ;    445.99;Cl* Melotte 22 DH 499              ;*  ;03 47 11.8585895352 +24 13 53.882810868;     ~   ;     ~   ;19.52    ;     ~   ;~              
80  ;    448.09;[KRL2001] 21                       ;*  ;03 46 51.4282819008 +24 06 16.285800132;     ~   ;     ~   ;     ~   ;     ~   ;~              
81  ;    448.34;V* QS Tau                          ;Er*;03 47 11.0206425648 +24 13 51.651060420;     ~   ;14.00    ;19.34    ;     ~   ;~              
82  ;    449.96;CXOP J034652.1+240850              ;X  ;03 46 52.14 +24 08 50.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
83  ;    458.30;[KRL2001] 16                       ;X  ;03 46 55.63 +24 02 56.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
84  ;    462.34;BD+23 543                          ;*  ;03 47 39.8774820576 +24 00 11.996068212;     ~   ;11.9     ;11.3     ;     ~   ;F8             
85  ;    463.54;Cl* Melotte 22 DH 484              ;Er*;03 46 59.3116640184 +24 01 42.916021104;     ~   ;19.90    ;17.60    ;     ~   ;MV             
86  ;    465.06;CXOP J034659.9+240132              ;X  ;03 46 59.92 +24 01 32.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
87  ;    468.08;CXOP J034653.6+240325              ;X  ;03 46 53.63 +24 03 25.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
88  ;    469.18;Cl* Melotte 22 DH 478              ;*  ;03 46 55.3101893022 +24 11 16.777819565;     ~   ;     ~   ;19.02    ;     ~   ;MV             
89  ;    471.22;CXOP J034652.8+240338              ;X  ;03 46 52.88 +24 03 38.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
90  ;    475.14;CXOP J034658.1+240140              ;Er*;03 46 58.2568973467 +24 01 41.478164358;     ~   ;     ~   ;     ~   ;     ~   ;MV             
91  ;    478.90;Cl Melotte 22 1199                 ;*  ;03 46 52.3330280928 +24 10 23.641043592;     ~   ;14.8     ;     ~   ;     ~   ;~              
92  ;    479.00;[SCG94] X 196                      ;?  ;03 47 58.7 +24 05 59                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
93  ;    486.42;[KRL2001] 22                       ;X  ;03 46 49.13 +24 08 33.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
94  ;    486.59;CXOP J034649.1+240833              ;Q? ;03 46 49.11 +24 08 33.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
95  ;    486.97;EXSS 0344.2+2406                   ;X  ;03 47 18.0 +24 15 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
96  ;    487.55;HD 282970                          ;** ;03 47 59.311 +24 05 57.04              ;     ~   ;10.67    ;10.11    ;10.33    ;G0             
97  ;    492.67;Cl* Melotte 22 BPL 122             ;Er*;03 47 01.8400266336 +24 13 28.281607500;     ~   ;     ~   ;20.18    ;     ~   ;M              
98  ;    494.19;[KRL2001] 15                       ;X  ;03 46 55.74 +24 01 52.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
99  ;    494.72;CXOP J034655.7+240151              ;X  ;03 46 55.76 +24 01 51.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
100 ;    496.31;CXOP J034647.9+240601              ;X  ;03 46 48.00 +24 06 01.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
101 ;    497.30;CXOP J034700.7+241322              ;X  ;03 47 00.76 +24 13 22.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
102 ;    497.60;Cl* Melotte 22 BPL 143             ;Er*;03 47 25.1032711008 +24 15 17.370789804;     ~   ;     ~   ;19.10    ;     ~   ;~              
103 ;    498.72;[KRL2001] 12                       ;X  ;03 47 00.80 +24 13 24.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
104 ;    501.92;CXOP J034705.9+235943              ;X  ;03 47 05.91 +23 59 43.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
105 ;    504.32;[KRL2001] 8                        ;X  ;03 47 05.71 +23 59 42.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
106 ;    508.51;Cl* Melotte 22 VM 17               ;*  ;03 46 54.0 +24 12 00                   ;     ~   ;17       ;     ~   ;     ~   ;~              
107 ;    513.73;[KRL2001] 25                       ;X  ;03 46 46.71 +24 07 57.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
108 ;    514.41;V* V1210 Tau                       ;gD*;03 47 04.2131220000 +23 59 42.773483436;     ~   ;8.67     ;8.38     ;     ~   ;F0V            
109 ;    514.55;CXOP J034646.6+240757              ;Q? ;03 46 46.65 +24 07 57.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
110 ;    516.99;[KRL2001] J034657.40+241307.10     ;X  ;03 46 57.40 +24 13 07.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
111 ;    526.45;[SCG94] X 150                      ;?  ;03 46 45.8 +24 06 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
112 ;    526.79;Cl Melotte 22 1680                 ;*  ;03 48 01.7232353664 +24 05 16.463132232;     ~   ;13.51    ;12.01    ;11.55    ;G5             
113 ;    532.86;CXOP J034648.1+240334              ;X  ;03 46 48.11 +24 03 34.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
114 ;    533.04;[KRL2001] J034648.08+240334.63     ;X  ;03 46 48.08 +24 03 34.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
115 ;    533.11;[KRL2001] J034646.01+240503.26     ;X  ;03 46 46.01 +24 05 03.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
116 ;    552.22;Cl* Melotte 22 DH 496              ;Er*;03 47 09.4123081704 +24 15 34.881739632;     ~   ;     ~   ;19.71    ;     ~   ;M5             
117 ;    552.40;Cl Melotte 22 1458                 ;*  ;03 47 32.5337689080 +23 58 00.111043848;     ~   ;17       ;13.47    ;     ~   ;~              
118 ;    553.66;CXOP J034655.0+240033              ;X  ;03 46 55.02 +24 00 34.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
119 ;    554.53;Cl* Melotte 22 SHF 41              ;*  ;03 47 10.6480042776 +23 58 16.499050680;     ~   ;     ~   ;     ~   ;     ~   ;~              
120 ;    556.75;CXOP J034655.3+240024              ;X  ;03 46 55.39 +24 00 24.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
121 ;    571.51;CXOP J034652.9+240037              ;X  ;03 46 52.99 +24 00 37.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
122 ;    571.69;Cl Melotte 22 1201                 ;*  ;03 46 50.81 +24 01 13.3                ;     ~   ;15.3     ;     ~   ;     ~   ;~              
123 ;    573.21;V* QX Tau                          ;Y*O;03 47 41.4393422685 +23 58 18.939833580;     ~   ;14.85    ;13.58    ;     ~   ;K8e            
124 ;    578.17;Cl* Melotte 22 VM 13               ;*  ;03 46 42.0 +24 06 00                   ;     ~   ;9.6      ;     ~   ;     ~   ;~              
125 ;    578.92;Cl Melotte 22 1259                 ;*  ;03 47 00.2882279544 +23 59 00.772928124;     ~   ;12.86    ;     ~   ;     ~   ;G7III          
126 ;    579.53;Cl Melotte 22 1695                 ;PM*;03 48 04.1628922584 +24 03 57.281879160;     ~   ;16.88    ;15.45    ;15.64    ;~              
127 ;    580.55;UGCS J034806.41+240651.6           ;PM*;03 48 06.4002674760 +24 06 51.895848384;     ~   ;     ~   ;     ~   ;     ~   ;~              
128 ;    583.60;Cl Melotte 22 1713                 ;*  ;03 48 04.9538546760 +24 04 18.428108952;     ~   ;     ~   ;11.95    ;     ~   ;~              
129 ;    583.87;Cl Melotte 22 1617                 ;*  ;03 47 53.483 +23 59 58.30              ;     ~   ;     ~   ;14.46    ;     ~   ;~              
130 ;    588.28;Wolf 1284                          ;PM*;03 47 30.2998779672 +23 57 18.082755900;     ~   ;14.01    ;13.10    ;12.91    ;~              
131 ;    590.63;[KRL2001] 30                       ;X  ;03 46 40.99 +24 07 46.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
132 ;    591.98;CXOP J034640.8+240746              ;X  ;03 46 40.89 +24 07 46.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
133 ;    597.98;HD 23713                           ;** ;03 48 07.1684166120 +24 08 31.430682996;     ~   ;9.86     ;9.43     ;9.32     ;F7V            
134 ;    600.52;UGCS J034722.27+241659.8           ;PM*;03 47 22.2664839864 +24 17 00.051522468;     ~   ;     ~   ;     ~   ;     ~   ;~              
135 ;    601.22;[SCG94] X 148                      ;?  ;03 46 41.5 +24 04 29                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
136 ;    602.34;CXOP J034647.2+240128              ;Q? ;03 46 47.27 +24 01 28.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
137 ;    602.68;[KRL2001] 24                       ;X  ;03 46 47.23 +24 01 28.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
138 ;    603.43;UGCS J034722.25+241703.1           ;*  ;03 47 22.2589554408 +24 17 02.960030508;     ~   ;     ~   ;     ~   ;     ~   ;~              
139 ;    603.46;CXOP J034652.0+240005              ;Q? ;03 46 52.00 +24 00 05.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
140 ;    604.13;CXOP J034641.3+240426              ;X  ;03 46 41.33 +24 04 26.4                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
141 ;    604.17;[KRL2001] 20                       ;X  ;03 46 51.97 +24 00 04.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
142 ;    604.76;[KRL2001] 29                       ;X  ;03 46 41.29 +24 04 26.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
143 ;    605.73;[SCG94] X 151                      ;?  ;03 46 47.2 +24 01 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
144 ;    606.11;[KRL2001] 28                       ;X  ;03 46 41.94 +24 03 51.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
145 ;    606.70;CXOP J034641.8+240351              ;X  ;03 46 41.88 +24 03 51.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
146 ;    606.73;HD 23584                           ;*  ;03 47 10.0537991349 +24 16 35.945010583;     ~   ;9.99     ;9.58     ;     ~   ;F6V            
147 ;    611.19;CXOP J034704.7+235748              ;X  ;03 47 04.80 +23 57 48.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
148 ;    611.23;Cl* Melotte 22 SHF 37              ;*  ;03 46 50.0203871544 +24 00 23.766767172;     ~   ;     ~   ;     ~   ;     ~   ;~              
149 ;    612.52;GAT 1067                           ;*  ;03 46 43.2 +24 02 49                   ;     ~   ;11.04    ;10.58    ;     ~   ;~              
150 ;    613.47;HD 23511                           ;PM*;03 46 39.3335012425 +24 06 11.531508492;     ~   ;9.75     ;9.28     ;     ~   ;F5V            
151 ;    613.53;CXOP J034644.1+240218              ;X  ;03 46 44.19 +24 02 18.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
152 ;    616.25;CXOP J034651.4+235953              ;X  ;03 46 51.49 +23 59 54.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
153 ;    616.30;[KRL2001] 23                       ;X  ;03 46 48.54 +24 00 40.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
154 ;    616.44;CXOP J034648.5+240039              ;X  ;03 46 48.59 +24 00 39.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
155 ;    622.51;V* V1229 Tau                       ;EB*;03 47 29.4536404848 +24 17 18.019635504;     ~   ;6.87     ;6.81     ;     ~   ;A0VpSi+Am      
156 ;    623.22;Cl Melotte 22 1129                 ;*  ;03 46 42.0 +24 03 00                   ;     ~   ;15.1     ;     ~   ;     ~   ;~              
157 ;    630.38;[AKS95] 36                         ;*  ;03 47 43.80 +24 16 29.2                ;     ~   ;15.645   ;13.847   ;     ~   ;~              
158 ;    633.49;IRAS 03447+2407                    ;FIR;03 47 41.7 +24 16 45                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
159 ;    634.74;[KRL2001] J034649.03+240003.47     ;X  ;03 46 49.03 +24 00 03.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
160 ;    637.79;CXOP J034644.5+240122              ;X  ;03 46 44.50 +24 01 22.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
161 ;    646.88;Cl* Melotte 22 BPL 112             ;*  ;03 46 52.9646088336 +24 15 07.966137492;     ~   ;     ~   ;21.46    ;     ~   ;~              
162 ;    648.58;CXOP J034643.6+240120              ;*  ;03 46 43.65 +24 01 20.5                ;     ~   ;19.7     ;     ~   ;     ~   ;~              
163 ;    648.64;[KRL2001] J034643.64+240120.57     ;X  ;03 46 43.64 +24 01 20.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
164 ;    650.32;Cl Melotte 22 1538                 ;*  ;03 47 43.1010540504 +24 16 55.494519744;     ~   ;12.55    ;     ~   ;     ~   ;F5             
165 ;    651.04;Cl Melotte 22 1658                 ;*  ;03 47 57.9606076968 +23 59 24.512634564;     ~   ;     ~   ;13.18    ;     ~   ;~              
166 ;    662.65;UGCS J034738.47+235627.6           ;*  ;03 47 38.470 +23 56 27.70              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
167 ;    663.06;CXOP J034635.7+240754              ;X  ;03 46 35.73 +24 07 54.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
168 ;    663.87;[KRL2001] 35                       ;X  ;03 46 35.66 +24 07 52.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
169 ;    665.81;[SCG94] X 200                      ;?  ;03 48 08.0 +24 11 44                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
170 ;    668.29;Cl* Melotte 22 ROQUE 10            ;LM*;03 48 02.0891753472 +24 00 02.350305864;     ~   ;     ~   ;     ~   ;     ~   ;~              
171 ;    668.42;Wolf 1285                          ;PM*;03 47 44.7529749264 +23 56 55.054336632;     ~   ;     ~   ;15.03    ;     ~   ;~              
172 ;    670.26;Cl Melotte 22 1733                 ;*  ;03 48 04.14 +24 00 36.6                ;     ~   ;16.5     ;     ~   ;     ~   ;~              
173 ;    673.08;CXOP J034634.8+240728              ;X  ;03 46 34.88 +24 07 28.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
174 ;    673.65;TXS 0345+238                       ;Rad;03 48 00.2 +23 59 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
175 ;    679.26;Cl* Melotte 22 BPL 162             ;Er*;03 47 56.6280268344 +24 15 31.931003196;     ~   ;     ~   ;     ~   ;     ~   ;~              
176 ;    685.92;Cl Melotte 22 1075                 ;PM*;03 46 34.2174975912 +24 08 17.755656972;     ~   ;12.38    ;     ~   ;     ~   ;~              
177 ;    686.57;V* V814 Tau                        ;BY*;03 46 39.3864483531 +24 01 46.867039992;     ~   ;13.04    ;12.13    ;     ~   ;K3V            
178 ;    695.70;UGCS J034748.90+241706.5           ;*  ;03 47 48.910 +24 17 06.50              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
179 ;    701.45;PLHX 24                            ;X  ;03 47 37.4 +23 55 43                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
180 ;    702.68;2E 0343.6+2352                     ;X  ;03 46 38.1 +24 01 46                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
181 ;    703.62;V* V793 Tau                        ;Er*;03 47 40.3754786066 +24 18 07.004668507;     ~   ;15.18    ;13.95    ;13.50    ;M:             
182 ;    703.93;Cl Melotte 22 1170                 ;*  ;03 46 46.9012469568 +23 58 52.891962348;     ~   ;17.2     ;     ~   ;     ~   ;~              
