 num|dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  spec. type   
4540|  13007.64|Cl* Melotte 25 VA 345              |PM*|04 25 01.4488383360 +12 17 07.183893768|     ~   |17.85    |16.6     |16.11    |~              
4541|  13009.73|BWE 0414+1834                      |Rad|04 17 34.0 +18 41 36                   |     ~   |     ~   |     ~   |     ~   |~              
4542|  13011.41|Cl* Melotte 25 VA 339              |*  |04 24 52.9756635768 +12 17 20.460781032|     ~   |19.17    |18.0     |     ~   |~              
4543|  13012.20|NVSS J044131+164945                |Rad|04 41 31.40 +16 49 45.7                |     ~   |     ~   |     ~   |     ~   |~              
4544|  13014.75|SDSS J041226.34+145947.2           |LM*|04 12 26.3452919712 +14 59 47.204353464|     ~   |     ~   |     ~   |     ~   |M0e            
4545|  13018.22|87GB 043910.9+154235               |Rad|04 42 02.0 +15 48 18                   |     ~   |     ~   |     ~   |     ~   |~              
4546|  13018.84|LP 475-129                         |PM*|04 32 07.5516188424 +12 28 13.383389136|     ~   |15.86    |14.27    |13.95    |~              
4547|  13019.77|[SHM2017] J066.71819+19.48317      |RR*|04 26 52.3704856368 +19 28 59.309413968|     ~   |     ~   |     ~   |     ~   |~              
4548|  13019.80|UCAC4 545-009245                   |Y*?|04 18 16.8241498800 +18 49 29.912368440|     ~   |14.725   |13.779   |13.813   |~              
4549|  13031.23|EUVE J0429+19.4                    |UV |04 29 23.0 +19 26 30                   |     ~   |     ~   |     ~   |     ~   |~              
4550|  13034.03|TXS 0412+134                       |Rad|04 15 26.5 +13 33 53                   |     ~   |     ~   |     ~   |     ~   |~              
4551|  13034.55|LSPM J0439+1747                    |PM*|04 39 48.9018614520 +17 47 31.448352336|     ~   |17.8     |     ~   |15.8     |~              
4552|  13035.98|2MASS J04231969+1922499            |*  |04 23 19.69584 +19 22 49.9692          |     ~   |     ~   |     ~   |     ~   |~              
4553|  13039.69|TYC 1271-695-1                     |*  |04 40 56.6280861000 +17 15 55.990901700|     ~   |12.21    |12.01    |     ~   |~              
4554|  13042.68|TYC 679-60-1                       |*  |04 14 06.9929513784 +14 00 40.533235992|     ~   |14.03    |11.18    |     ~   |~              
4555|  13043.53|XEST 01-087                        |X  |04 22 29.80 +19 19 38.5                |     ~   |     ~   |     ~   |     ~   |~              
4556|  13043.90|Cl* Melotte 25 HAN 55              |*  |04 11 56.2332268200 +15 48 10.888803504|     ~   |12.63    |11.65    |11.83    |~              
4557|  13046.59|Gaia DR3 3308260063676097536       |WD?|04 37 13.2294583584 +13 13 02.995462740|     ~   |     ~   |     ~   |     ~   |~              
4558|  13047.07|Gaia DR3 3308414068319673856       |Y*?|04 39 38.0625654864 +13 54 45.711026568|     ~   |     ~   |     ~   |     ~   |~              
4559|  13047.59|Gaia DR3 3409256808054652928       |*  |04 40 43.3853394408 +17 23 35.979069336|     ~   |     ~   |     ~   |     ~   |~              
4560|  13047.61|TYC 677-320-1                      |*  |04 35 21.2756449416 +12 51 34.251063228|     ~   |12.09    |11.78    |     ~   |~              
4561|  13051.43|ATO J069.6857+18.1610              |V* |04 38 44.5774999274 +18 09 39.878241426|     ~   |16.130   |15.233   |14.662   |~              
4562|  13051.52|TXS 0415+128                       |Rad|04 18 04.3 +12 57 22                   |     ~   |     ~   |     ~   |     ~   |~              
4563|  13054.04|TYC 1267-614-1                     |*  |04 41 58.2784878552 +15 27 51.876254844|     ~   |11.83    |11.21    |     ~   |~              
4564|  13054.17|V* SZ Tau                          |cC*|04 37 14.7776556504 +18 32 34.926940860|7.65     |7.13     |6.37     |     ~   |F6.7:Ib        
4565|  13056.74|LP 474-186                         |PM*|04 13 59.9808006696 +14 03 04.071640176|     ~   |19.49    |17.85    |     ~   |~              
4566|  13056.90|2MASS J04123159+1655054            |LM*|04 12 31.5996378192 +16 55 05.426475636|     ~   |     ~   |     ~   |     ~   |M0V            
4567|  13064.55|SDSS J041219.73+164454.8           |WD*|04 12 19.7044386696 +16 44 55.061440548|     ~   |     ~   |     ~   |     ~   |DA             
4568|  13065.35|Cl* Melotte 25 HAN 53              |*  |04 11 55.22 +16 03 04.4                |     ~   |18.67    |16.90    |     ~   |~              
4569|  13065.92|TYC 1271-733-1                     |*  |04 40 56.1188420880 +17 17 22.524374256|     ~   |13.82    |10.93    |     ~   |~              
4570|  13066.05|Cl* Melotte 25 HAN 362             |*  |04 25 44.66 +12 15 00.0                |     ~   |15.25    |14.25    |     ~   |~              
4571|  13067.98|Cl* Melotte 25 VA 496              |PM*|04 28 42.7747115400 +12 15 37.829111472|     ~   |17.19    |15.8     |15.05    |~              
4572|  13072.18|Cl* Melotte 25 VA 469              |PM*|04 27 57.5880575328 +12 14 34.697192028|     ~   |12.48    |11.61    |11.48    |~              
4573|  13074.25|TYC 694-1082-1                     |*  |04 37 49.0133225928 +13 20 53.133944064|     ~   |13.13    |10.86    |     ~   |~              
4574|  13077.50|Cl* Melotte 25 VA 40               |PM*|04 11 59.8180203288 +15 28 24.566901852|     ~   |18.7     |17.3     |     ~   |~              
4575|  13080.63|Gaia DR2 3309799654832633216       |WD?|04 42 02.4654773832 +15 33 03.700626048|     ~   |     ~   |     ~   |     ~   |~              
4576|  13083.43|HD 285893                          |TT*|04 36 30.8243661456 +18 42 15.340275720|     ~   |10.62    |10.01    |     ~   |F8             
4577|  13087.90|TYC 1267-187-1                     |*  |04 42 07.0391973576 +15 57 09.255537216|     ~   |11.23    |10.62    |     ~   |~              
4578|  13090.11|[SPG2012] 067.1+12.3-196           |HVC|04 28 33.0 +12 15 00                   |     ~   |     ~   |     ~   |     ~   |~              
4579|  13091.77|TYC 1267-268-1                     |*  |04 41 47.7789136920 +16 39 02.852552412|     ~   |12.10    |11.96    |     ~   |~              
4580|  13092.04|UCAC4 534-009530                   |*  |04 41 46.5260572056 +16 40 27.990416568|     ~   |15.98    |14.67    |14.70    |K3V            
4581|  13092.75|UCAC4 548-009698                   |*  |04 30 21.1599532179 +19 24 53.219684866|     ~   |13.980   |13.040   |12.926   |~              
4582|  13093.47|HD 29716                           |*  |04 41 27.1607768832 +14 49 24.513069828|     ~   |9.30     |8.79     |     ~   |F5             
4583|  13096.47|HD 286845                          |*  |04 31 16.9436261616 +12 22 48.008262468|     ~   |11.80    |11.23    |     ~   |G              
4584|  13098.74|TYC 1274-1455-1                    |*  |04 32 09.8105861952 +19 17 27.137998068|     ~   |12.66    |12.37    |     ~   |~              
4585|  13100.67|LEDA 1443009                       |G  |04 39 36.8 +13 52 40                   |     ~   |     ~   |     ~   |     ~   |~              
4586|  13102.73|HD 285634                          |*  |04 19 09.7129394736 +18 59 22.649427564|     ~   |11.23    |9.59     |     ~   |K7             
