 num|dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  spec. type   
----|----------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------------
1   |     95.32|Gaia DR2 3312789501827034624       |WD?|04 26 58.7531767632 +15 50 26.397326796|     ~   |     ~   |     ~   |     ~   |~              
2   |    367.68|Cl* Melotte 25 VA 433              |*  |04 27 25.4345630184 +15 52 22.685937132|     ~   |19.84    |18.1     |     ~   |~              
3   |    379.82|[BKM2008] HA1Ic09-735l             |*  |04 27 20.4 +15 48 00                   |     ~   |     ~   |     ~   |     ~   |~              
4   |    384.57|Gaia DR3 3312792701578454272       |Y*?|04 27 02.8437070200 +15 58 22.374905196|     ~   |     ~   |     ~   |     ~   |~              
5   |    454.40|[BKM2008] HA1Ic09-460l             |*  |04 27 16.5 +15 45 33                   |     ~   |     ~   |     ~   |     ~   |~              
6   |    474.04|Cl* Melotte 25 VA 436              |PM*|04 27 26.6879020512 +15 56 36.571684848|     ~   |12.93    |12.00    |11.94    |~              
7   |    530.43|NSVS 9440915                       |EB?|04 27 20.7722396328 +15 59 17.699368704|     ~   |12.30    |11.468   |     ~   |~              
8   |    534.40|ATO J066.7788+15.7208              |EB?|04 27 06.9217594923 +15 43 15.022902370|     ~   |17.784   |16.853   |     ~   |~              
9   |    617.95|HD 285809                          |*  |04 26 37.4028870312 +16 00 45.014940000|     ~   |10       |     ~   |     ~   |K0             
10  |    618.22|DO 10494                           |*  |04 26 37.400 +16 00 45.30              |     ~   |     ~   |     ~   |     ~   |~              
11  |    618.46|HD 285813                          |*  |04 27 22.7967628920 +15 43 16.331644668|     ~   |12.23    |11.35    |     ~   |G0             
12  |    642.63|Cl* Melotte 25 VA 441              |*  |04 27 30.7284492624 +15 59 45.318045012|     ~   |17.73    |16.7     |15.16    |~              
13  |    645.70|2MASS J04262583+1545029            |*  |04 26 25.8409996608 +15 45 03.020011128|     ~   |     ~   |     ~   |     ~   |M5III          
14  |    650.69|Cl* Melotte 25 VA 445              |PM*|04 27 33.4729322424 +15 44 44.111228712|     ~   |17.13    |15.84    |13.70    |~              
15  |    709.43|CRTS J042652.6+160341              |RR*|04 26 52.7164163544 +16 03 41.615547192|     ~   |     ~   |15.03    |     ~   |~              
16  |    718.07|TYC 1265-326-1                     |*  |04 26 44.7542826312 +15 40 36.483020148|     ~   |13.10    |11.39    |     ~   |~              
17  |    726.94|TXS 0423+156                       |Rad|04 26 16.4 +15 45 56                   |     ~   |     ~   |     ~   |     ~   |~              
18  |    727.39|2E 0424.7+1554                     |X  |04 27 33.4 +16 01 05                   |     ~   |     ~   |     ~   |     ~   |~              
19  |    750.51|Cl* Melotte 25 VA 455              |*  |04 27 43.4967402504 +15 45 08.696854368|     ~   |14.16    |13.02    |12.92    |~              
20  |    751.11|HD 285807                          |*  |04 27 41.2485221040 +15 59 38.452532964|     ~   |12.61    |11.10    |     ~   |G0             
21  |    751.31|UCAC4 531-008793                   |*  |04 27 34.5563481000 +16 01 22.188031392|     ~   |13.88    |12.68    |12.27    |~              
22  |    757.59|2MASS J04273483+1601269            |*  |04 27 34.8378750792 +16 01 26.982863580|     ~   |     ~   |     ~   |     ~   |~              
23  |    794.82|HD 285808                          |*  |04 27 37.1140227528 +16 01 47.542491084|     ~   |11.31    |10.39    |10.21    |G5             
24  |    805.62|[BKM2008] HA1Ic07-930l             |PM*|04 26 05.2 +15 49 26                   |     ~   |     ~   |     ~   |     ~   |~              
25  |    815.91|LSPM J0426+1542                    |PM*|04 26 21.0510195528 +15 42 08.697734640|     ~   |18.7     |     ~   |17.1     |~              
26  |    939.30|TYC 1265-356-1                     |*  |04 26 06.2809673520 +16 00 51.011210376|     ~   |13.15    |11.24    |     ~   |~              
27  |    953.14|WISE J042751.99+160148.2           |MIR|04 27 51.996 +16 01 48.30              |     ~   |     ~   |     ~   |     ~   |~              
28  |    965.88|WISE J042755.06+160109.6           |MIR|04 27 55.065 +16 01 09.69              |     ~   |     ~   |     ~   |     ~   |~              
29  |    967.17|HG 7-220                           |PM*|04 27 10.2936326856 +15 36 04.315337748|     ~   |14.61    |13.43    |13.28    |~              
30  |    971.82|LP 415-144                         |PM*|04 27 46.4951137488 +16 03 43.433925984|     ~   |19.72    |17.8     |     ~   |~              
31  |    977.85|HD 285810                          |*  |04 26 07.5665380584 +16 02 19.939441056|     ~   |11.09    |10.37    |     ~   |F2             
32  |    996.19|WISE J042757.93+160102.3           |MIR|04 27 57.937 +16 01 02.33              |     ~   |     ~   |     ~   |     ~   |~              
33  |   1041.67|V* W Tau                           |LP*|04 27 57.1933099464 +16 02 36.161255400|     ~   |11.90    |10.26    |     ~   |M6             
34  |   1042.74|WISE J042800.83+160123.5           |MIR|04 28 00.832 +16 01 23.50              |     ~   |     ~   |     ~   |     ~   |~              
35  |   1050.72|WISE J042753.73+160349.5           |MIR|04 27 53.737 +16 03 49.53              |     ~   |     ~   |     ~   |     ~   |~              
36  |   1053.46|2MASS J04265260+1609281            |NIR|04 26 52.6115286168 +16 09 28.059466140|     ~   |     ~   |     ~   |     ~   |~              
37  |   1058.40|* 71 Tau                           |dS*|04 26 20.7708204936 +15 37 05.884087620|     ~   |4.758    |4.480    |5.96     |F0V            
38  |   1072.23|WISE J042755.14+160359.2           |MIR|04 27 55.142 +16 03 59.23              |     ~   |     ~   |     ~   |     ~   |~              
39  |   1078.21|HD 28008                           |PM*|04 25 50.7944213520 +15 45 13.901419476|     ~   |10.54    |9.83     |9.84     |G5             
40  |   1088.99|Cl* Melotte 25 VA 479              |PM*|04 28 15.0033046416 +15 54 02.341584036|     ~   |16.53    |     ~   |14.88    |~              
41  |   1094.22|WISE J042802.88+160212.1           |MIR|04 28 02.888 +16 02 12.11              |     ~   |     ~   |     ~   |     ~   |~              
42  |   1097.58|Cl* Melotte 25 VA 473              |*  |04 28 09.3080294496 +15 59 33.083333556|     ~   |19.35    |18.0     |     ~   |~              
43  |   1108.60|2MASS J04255106+1600102            |Y*?|04 25 51.0669278712 +16 00 10.341991692|     ~   |12.45    |11.76    |     ~   |~              
44  |   1112.77|WISE J042758.38+160407.6           |MIR|04 27 58.380 +16 04 07.63              |     ~   |     ~   |     ~   |     ~   |~              
45  |   1122.19|WISE J042759.32+160406.1           |MIR|04 27 59.325 +16 04 06.20              |     ~   |     ~   |     ~   |     ~   |~              
46  |   1124.51|WISE J042803.62+160249.9           |MIR|04 28 03.630 +16 02 49.92              |     ~   |     ~   |     ~   |     ~   |~              
47  |   1125.33|V* V993 Tau                        |BY*|04 27 35.8912011816 +15 35 21.090336828|     ~   |7.949    |7.404    |7.102    |~              
48  |   1127.70|UCAC4 531-008796                   |Y*?|04 27 36.3917749800 +16 08 38.190378408|     ~   |14.719   |13.537   |13.350   |~              
49  |   1128.40|WISE J042803.32+160302.8           |MIR|04 28 03.321 +16 03 02.82              |     ~   |     ~   |     ~   |     ~   |~              
50  |   1131.90|TGU H1270                          |DNe|04 28 18.0 +15 50 00                   |     ~   |     ~   |     ~   |     ~   |~              
51  |   1131.94|TYC 1265-716-1                     |*  |04 26 24.8517962184 +15 35 08.192116680|     ~   |12.46    |12.00    |     ~   |~              
52  |   1185.78|BPS BS 17585-0100                  |*  |04 27 24.951 +16 10 49.90              |     ~   |12.67    |11.95    |11.91    |~              
53  |   1222.36|* 70 Tau                           |SB*|04 25 37.3225242048 +15 56 27.683560428|     ~   |6.951    |6.439    |7.75     |F7V            
54  |   1231.58|Cl* Melotte 25 VA 456              |*  |04 27 42.8487269952 +16 09 45.428595408|     ~   |19.65    |18.1     |     ~   |~              
55  |   1249.24|Cl* Melotte 25 VA 457              |*  |04 27 44.7704011080 +16 09 49.557103272|     ~   |19.75    |16.8     |16.36    |~              
56  |   1296.62|PGCC G179.71-22.22                 |MoC|04 26 26.232 +16 12 01.76              |     ~   |     ~   |     ~   |     ~   |~              
57  |   1297.02|UCAC4 530-008693                   |*  |04 25 34.2062996016 +15 58 28.253311968|     ~   |15.08    |13.39    |13.03    |~              
58  |   1304.75|TYC 1265-847-1                     |*  |04 25 56.3177155968 +16 07 26.924860452|     ~   |12.83    |11.93    |     ~   |~              
59  |   1338.51|ATO J066.5236+15.5654              |V* |04 26 05.6657906583 +15 33 55.515778506|     ~   |16.226   |14.987   |14.930   |~              
60  |   1367.38|2MASS J04282346+1541133            |NIR|04 28 23.465 +15 41 13.35              |     ~   |     ~   |     ~   |     ~   |~              
61  |   1371.16|Cl* Melotte 25 VA 464              |*  |04 27 58.6834377696 +15 34 01.990620300|     ~   |18.87    |17.6     |     ~   |~              
62  |   1388.55|[BKM2008] HA9Ic02-266l             |*  |04 28 27.5 +15 42 23                   |     ~   |     ~   |     ~   |     ~   |~              
63  |   1403.25|IRAS 04228+1530                    |*  |04 25 44.5923265368 +15 37 14.627932788|     ~   |12.79    |10.36    |     ~   |~              
64  |   1405.47|[BKM2008] HA9Ic02-41s              |PM*|04 28 30.12 +15 43 07.7                |     ~   |     ~   |     ~   |     ~   |~              
65  |   1405.81|* tet01 Tau                        |SB*|04 28 34.4960341 +15 57 43.849432      |5.510    |4.780    |3.840    |5.48     |G9IIIFe-0.5    
66  |   1425.22|Cl* Melotte 25 VA 438              |*  |04 27 26.8791259800 +15 29 08.666669472|     ~   |18.94    |17.2     |14.37    |~              
67  |   1429.18|1AXG J042839+1552                  |X  |04 28 39.0 +15 52 48                   |     ~   |     ~   |     ~   |     ~   |~              
68  |   1439.19|* tet02 Tau                        |dS*|04 28 39.7416111456 +15 52 15.148738380|3.690    |3.600    |3.410    |5.43     |A7III          
69  |   1459.60|V* V992 Tau                        |PM*|04 26 05.8393913496 +15 31 27.634430748|8.11     |8.027    |7.472    |7.161    |~              
70  |   1462.65|HD 285811                          |*  |04 25 35.3842310928 +15 38 35.540246328|     ~   |11.59    |10.95    |     ~   |A1             
71  |   1476.41|Gaia DR3 3312704706289693824       |BD?|04 26 20.0057110320 +15 29 21.255826344|     ~   |     ~   |     ~   |     ~   |~              
72  |   1495.51|LP 415-113                         |PM*|04 27 40.7496165744 +16 14 55.327689456|     ~   |17.22    |15.8     |15.32    |~              
73  |   1507.68|1RXS J042752.7+153018              |X  |04 27 52.70 +15 30 18.5                |     ~   |     ~   |     ~   |     ~   |~              
74  |   1539.67|C* 3243                            |C* |04 25 44.8749615192 +16 10 14.280778488|     ~   |     ~   |12.6     |     ~   |C              
75  |   1548.50|NVSS J042821+153511                |Rad|04 28 21.39 +15 35 11.6                |     ~   |     ~   |     ~   |     ~   |~              
76  |   1560.15|87GB 042224.6+153825               |Rad|04 25 15.70 +15 45 10.0                |     ~   |     ~   |     ~   |     ~   |~              
77  |   1562.68|Cl* Melotte 25 VA 406              |PM*|04 26 52.5280691904 +15 26 01.053355884|     ~   |12.66    |11.78    |11.72    |~              
78  |   1563.83|Cl* Melotte 25 LH 132              |*  |04 25 56.5671494952 +16 13 08.606753364|     ~   |18.27    |16.69    |     ~   |~              
79  |   1570.09|[BKM2008] HA10c04-641l             |PM*|04 25 24.0 +15 39 42                   |     ~   |     ~   |     ~   |     ~   |~              
80  |   1572.42|ATO J066.8364+15.4378              |EB?|04 27 20.7269661967 +15 26 16.339348950|     ~   |     ~   |     ~   |     ~   |~              
81  |   1609.63|HG 7-208                           |PM*|04 25 49.2397769424 +15 31 16.310858484|     ~   |13.83    |12.172   |11.82    |M0             
82  |   1615.65|Cl* Melotte 25 VA 440              |PM*|04 27 29.4198275232 +15 26 01.230904716|     ~   |16.57    |15.00    |14.79    |~              
83  |   1617.12|Cl* Melotte 25 VA 361              |PM*|04 25 40.7386625472 +15 32 57.560644464|     ~   |15.70    |14.23    |13.97    |~              
84  |   1626.48|Cl* Melotte 25 VA 488              |*  |04 28 30.8804192856 +16 08 03.486150744|     ~   |15.29    |14.07    |13.98    |~              
85  |   1652.40|[BKM2008] HA9Ic06-243s             |*  |04 27 04.7 +15 24 29                   |     ~   |     ~   |     ~   |     ~   |~              
86  |   1660.60|[BKM2008] HA10c04-89s              |PM*|04 25 14.2047191112 +15 41 07.768959648|     ~   |     ~   |     ~   |     ~   |~              
87  |   1663.83|1RXS J042623.4+161818              |X  |04 26 23.40 +16 18 18.0                |     ~   |     ~   |     ~   |     ~   |~              
88  |   1673.99|HG 7-235                           |PM*|04 28 52.4523590736 +15 58 53.737316580|     ~   |13.21    |11.975   |11.62    |M1V            
89  |   1679.71|2MASS J04262596+1618464            |NIR|04 26 25.9664458296 +16 18 46.495174428|     ~   |     ~   |     ~   |     ~   |~              
90  |   1680.01|HD 285814                          |PM*|04 26 42.2881982328 +15 24 19.589041584|     ~   |11.40    |12.36    |10.69    |G0             
91  |   1687.54|2E 0423.5+1612                     |X  |04 26 26.5 +16 18 57                   |     ~   |     ~   |     ~   |     ~   |~              
92  |   1704.77|HD 285817                          |*  |04 27 45.4059839640 +15 25 46.436313252|     ~   |11.30    |9.88     |     ~   |K0             
93  |   1707.58|Cl* Melotte 25 VA 346              |PM*|04 25 04.7415431136 +15 58 29.511974424|     ~   |17.72    |15.8     |15.95    |~              
94  |   1718.97|NVSS J042645+162026                |Rad|04 26 45.21 +16 20 25.7                |     ~   |     ~   |     ~   |     ~   |~              
95  |   1724.16|ASAS J042505+1559.4                |LP*|04 25 04.4680565016 +15 59 22.383812472|     ~   |     ~   |     ~   |     ~   |~              
96  |   1733.16|Cl* Melotte 25 VA 410              |PM*|04 27 01.5692841120 +15 23 06.985990032|     ~   |17.82    |16.2     |15.86    |~              
97  |   1740.30|HD 285812                          |*  |04 25 30.7525385736 +15 32 30.477524604|     ~   |10.96    |9.46     |     ~   |K0             
98  |   1746.57|Cl* Melotte 25 VA 483              |PM*|04 28 22.6240067304 +15 30 44.528797620|     ~   |18.12    |16.5     |14.46    |~              
99  |   1752.32|ATO J066.2445+15.8439              |V* |04 24 58.6904541222 +15 50 38.200111807|     ~   |     ~   |     ~   |     ~   |~              
100 |   1763.81|ATO J066.8863+15.3945              |V* |04 27 32.7218481425 +15 23 40.707362835|     ~   |14.304   |     ~   |12.930   |~              
101 |   1770.90|Gaia DR3 3312720821004965120       |PM*|04 28 38.8953468336 +15 34 32.587942440|     ~   |     ~   |     ~   |     ~   |~              
102 |   1772.19|IRAS 04259+1558                    |FIR|04 28 51.1 +16 04 38                   |     ~   |     ~   |     ~   |     ~   |~              
103 |   1775.64|HD 285815                          |PM*|04 27 02.1675160128 +15 22 24.633927840|     ~   |12.07    |11.05    |10.89    |K1             
104 |   1788.10|Cl* Melotte 25 HAN 451             |*  |04 29 00.64 +15 45 12.9                |     ~   |16.27    |15.00    |     ~   |~              
105 |   1830.04|Cl* Melotte 25 LH 134              |PM*|04 25 43.5767953392 +16 16 21.375859332|     ~   |18.61    |17.01    |     ~   |~              
106 |   1830.19|Cl* Melotte 25 LH 100              |LM*|04 28 41.9940746424 +15 33 53.397930996|     ~   |     ~   |     ~   |     ~   |M5             
107 |   1836.90|1RXS J042452.7+155139              |X  |04 24 52.70 +15 51 39.0                |     ~   |     ~   |     ~   |     ~   |~              
108 |   1860.96|NVSS J042826+161455                |Rad|04 28 26.98 +16 14 55.2                |     ~   |     ~   |     ~   |     ~   |~              
109 |   1864.26|HD 285816                          |PM*|04 27 32.3480485944 +15 21 55.259587908|     ~   |11.85    |11.04    |11.04    |G5             
110 |   1874.35|UCAC4 530-008843                   |*  |04 29 08.6430103224 +15 56 23.129637000|     ~   |16.448   |14.956   |14.888   |~              
111 |   1877.04|Gaia DR3 3313527514647372800       |*  |04 24 50.4452694480 +15 54 52.954316352|     ~   |     ~   |     ~   |     ~   |~              
112 |   1885.52|Cl* Melotte 25 HAN 340             |*  |04 24 53.77 +15 43 54.4                |     ~   |16.36    |14.83    |     ~   |~              
113 |   1903.90|NAME HG 7-200B                     |PM*|04 24 48.059 +15 52 29.38              |     ~   |     ~   |     ~   |     ~   |~              
114 |   1903.91|HG 7-200                           |** |04 24 48.0581539656 +15 52 28.933438440|     ~   |13.060   |11.623   |11.44    |K7V            
115 |   1903.95|NAME HG 7-200A                     |PM*|04 24 48.055 +15 52 28.99              |     ~   |     ~   |     ~   |     ~   |~              
116 |   1919.91|Cl* Melotte 25 VA 522              |*  |04 29 05.1769305600 +15 41 11.093407224|     ~   |19.43    |17.8     |     ~   |~              
117 |   1924.78|Cl Melotte 25 268                  |PM*|04 27 00.8152406664 +16 24 04.739268168|     ~   |12.88    |     ~   |12.00    |~              
118 |   1926.82|CRTS J042549.6+152442              |EB*|04 25 49.6719446976 +15 24 42.727885092|     ~   |     ~   |14.82    |     ~   |~              
119 |   1945.80|HD 28293                           |*  |04 28 20.3191899024 +16 18 03.980933424|     ~   |9.67     |8.20     |     ~   |K2III          
120 |   1957.72|2MFGC 3576                         |G  |04 24 44.520 +15 50 15.29              |     ~   |     ~   |     ~   |     ~   |~              
121 |   1977.38|TYC 1265-785-1                     |*  |04 25 25.3166249184 +16 15 50.878283760|     ~   |11.67    |10.56    |     ~   |~              
122 |   1982.25|Cl* Melotte 25 VA 411              |*  |04 27 02.9052357336 +16 25 01.807635036|     ~   |19.84    |18.1     |     ~   |~              
123 |   1985.07|4C 15.14                           |Rad|04 29 17.50 +15 50 55.0                |     ~   |     ~   |     ~   |     ~   |~              
124 |   1989.77|HD 285745                          |*  |04 24 47.4403285560 +16 01 11.187434316|     ~   |11.59    |11.17    |     ~   |F8             
125 |   1992.85|HD 285747                          |*  |04 24 44.3063797848 +15 45 50.790614400|     ~   |12.20    |10.03    |     ~   |K5             
126 |   1994.43|LP 415-9                           |PM*|04 26 39.2292035232 +16 24 51.847875504|     ~   |16.73    |15.16    |14.92    |~              
127 |   2022.04|HD 28363                           |** |04 28 59.7394076568 +16 09 32.714425728|     ~   |7.101    |6.565    |6.258    |F8V            
128 |   2022.07|HD 28363B                          |SB*|04 28 59.745 +16 09 32.63              |     ~   |9.08     |8.38     |     ~   |~              
129 |   2022.53|HD 28363A                          |PM*|04 28 59.777 +16 09 32.75              |     ~   |7.42     |6.85     |     ~   |~              
130 |   2029.12|Cl* Melotte 25 CFHT 17             |PM*|04 27 06.5728776144 +16 25 46.908457860|     ~   |     ~   |18.96    |     ~   |~              
131 |   2029.86|** LDS 2240                        |** |04 27 06.42936 +16 25 47.7408          |     ~   |18.8     |     ~   |16.6     |~              
132 |   2030.83|Cl* Melotte 25 CFHT 15             |PM*|04 27 06.4027917000 +16 25 48.729794484|     ~   |19.9     |     ~   |     ~   |~              
133 |   2048.88|Cl* Melotte 25 LH 149              |PM*|04 24 38.3879353920 +15 54 34.629359976|     ~   |16.89    |15.38    |15.27    |~              
134 |   2055.91|1AXG J042843+1615                  |X  |04 28 43.8 +16 15 30                   |     ~   |     ~   |     ~   |     ~   |~              
135 |   2059.64|TYC 1265-664-1                     |*  |04 28 43.0561113312 +15 28 16.341548772|     ~   |12.89    |11.89    |     ~   |~              
136 |   2078.09|Cl* Melotte 25 VA 498              |*  |04 28 47.0700447120 +15 28 51.716079804|     ~   |17.52    |16.5     |15.93    |~              
137 |   2106.71|GB6 B0425+1519                     |Rad|04 28 37.10 +15 25 48.0                |     ~   |     ~   |     ~   |     ~   |~              
138 |   2119.96|PGCC G180.17-21.74                 |MoC|04 29 06.343 +16 10 04.49              |     ~   |     ~   |     ~   |     ~   |~              
139 |   2134.96|Cl* Melotte 25 VA 539              |*  |04 29 20.7196199856 +16 03 02.893908312|     ~   |19.17    |17.9     |     ~   |~              
140 |   2136.91|[SHM2017] J067.36119+15.94941      |RR*|04 29 26.6875368408 +15 56 57.870839076|     ~   |     ~   |     ~   |     ~   |~              
141 |   2138.03|TYC 1265-765-1                     |*  |04 26 10.1979232680 +16 25 34.021545348|     ~   |13.08    |11.46    |     ~   |~              
142 |   2149.37|Gaia DR3 3312714219639787008       |*  |04 28 38.9605749504 +15 25 14.829337272|     ~   |     ~   |     ~   |     ~   |~              
143 |   2164.29|LP 415-67                          |PM*|04 25 16.5263378664 +16 18 08.454692448|     ~   |18.22    |16.7     |16.40    |~              
144 |   2167.76|* 75 Tau                           |** |04 28 26.3699079120 +16 21 34.829804916|     ~   |6.104    |4.969    |     ~   |K1IIIb         
145 |   2171.53|ATO J066.3513+15.4014              |V* |04 25 24.3227006435 +15 24 05.046685605|     ~   |     ~   |     ~   |     ~   |~              
146 |   2190.12|HG 7-198                           |PM*|04 24 28.2660085728 +15 53 03.483364272|     ~   |16.61    |14.99    |14.91    |M2.5           
147 |   2203.80|V* V994 Tau B                      |PM*|04 28 50.8170938612 +16 17 18.405743688|     ~   |     ~   |     ~   |     ~   |~              
148 |   2204.99|V* V994 Tau                        |BY*|04 28 50.8141439320 +16 17 20.183418331|     ~   |12.001   |10.698   |10.349   |K4V            
149 |   2213.40|NVSS J042428+154619                |Rad|04 24 28.5 +15 46 19                   |     ~   |     ~   |     ~   |     ~   |~              
150 |   2216.99|Cl* Melotte 25 HAN 339             |*  |04 24 50.97 +15 31 58.6                |     ~   |15.42    |14.14    |     ~   |~              
151 |   2243.38|LP 415-112                         |PM*|04 27 36.3179029848 +16 28 21.510741216|     ~   |20.5     |     ~   |18.2     |~              
152 |   2243.52|UCAC4 527-008479                   |Y*?|04 26 46.7921846232 +15 14 44.617006968|     ~   |14.739   |     ~   |13.523   |~              
153 |   2249.53|TYC 1265-846-1                     |*  |04 27 11.7628917024 +15 14 36.897576396|     ~   |13.67    |11.83    |     ~   |~              
154 |   2260.60|EUVE J0424+15.4                    |UV |04 24 59.0 +15 28 06                   |     ~   |     ~   |     ~   |     ~   |~              
155 |   2269.78|BPS BS 17585-0112                  |*  |04 28 17.4369300912 +15 19 05.113639524|     ~   |     ~   |     ~   |     ~   |~              
156 |   2287.54|Cl* Melotte 25 CFHT 21             |BD*|04 29 22.82736 +15 35 29.9292          |     ~   |     ~   |     ~   |     ~   |T1             
157 |   2290.62|EUVE J0425+15.2                    |UV |04 25 53.0 +15 17 24                   |     ~   |     ~   |     ~   |     ~   |~              
158 |   2293.73|LP 415-58                          |PM*|04 24 21.6030611664 +15 55 18.633529164|     ~   |17.56    |16.0     |15.56    |~              
159 |   2294.03|LSPM J0425+1625                    |PM*|04 25 46.4719167000 +16 25 54.766836660|     ~   |19.8     |     ~   |17.6     |~              
160 |   2305.79|BPS BS 17585-0111                  |*  |04 28 52.9337865792 +15 24 50.399178156|13.826   |13.528   |12.605   |     ~   |~              
161 |   2308.76|IRAS 04267+1538                    |FIR|04 29 36.9 +15 44 32                   |     ~   |     ~   |     ~   |     ~   |~              
162 |   2323.13|TYC 1265-498-1                     |*  |04 28 20.7423762192 +15 18 31.011336072|     ~   |12.90    |11.82    |     ~   |~              
163 |   2333.74|HD 285797                          |*  |04 27 17.5443063480 +16 30 40.015660680|     ~   |10.85    |10.17    |     ~   |F5             
164 |   2343.11|LP 415-773                         |*  |04 24 52.9083073152 +16 16 20.950082580|     ~   |16.45    |     ~   |     ~   |~              
165 |   2349.94|Cl* Melotte 25 VA 429              |*  |04 27 24.7492123176 +16 30 42.739215480|     ~   |18.99    |17.5     |16.42    |~              
166 |   2350.29|LP 415-372                         |PM*|04 25 20.2212475344 +15 21 03.657882132|     ~   |19.3     |     ~   |16.9     |~              
167 |   2351.33|2MASS J04243581+1533474            |NIR|04 24 35.8065743088 +15 33 47.383046460|     ~   |     ~   |     ~   |     ~   |~              
168 |   2365.91|LSPM J0429+1550W                   |PM*|04 29 43.8345622128 +15 50 25.985900508|     ~   |13.3     |     ~   |11.1     |~              
169 |   2367.62|IRAS 04219+1609                    |FIR|04 24 50.5 +16 16 16                   |     ~   |     ~   |     ~   |     ~   |~              
170 |   2368.25|Cl* Melotte 25 VA 553              |*  |04 29 44.0 +15 50 27                   |     ~   |13.9     |12.3     |     ~   |~              
171 |   2370.02|LSPM J0429+1550E                   |PM*|04 29 44.1245480400 +15 50 27.757521888|     ~   |     ~   |     ~   |12.0     |~              
172 |   2375.47|HD 285796                          |*  |04 26 26.8773671904 +16 30 47.061690480|     ~   |11.18    |10.49    |     ~   |A7             
173 |   2384.50|LP 415-375                         |PM*|04 27 29.9557544232 +15 12 55.122029820|     ~   |14.50    |13.18    |12.88    |~              
174 |   2399.54|Cl* Melotte 25 VA 525              |*  |04 29 09.9522438624 +15 27 05.027418216|     ~   |19.03    |16.8     |15.94    |~              
175 |   2403.07|HD 285804                          |PM*|04 28 10.8713190144 +16 28 15.380972508|     ~   |12.007   |11.057   |10.70    |K7V            
176 |   2405.14|[BKM2008] HA5Ic01-385l             |*  |04 29 34.0 +16 07 24                   |     ~   |     ~   |     ~   |     ~   |~              
177 |   2407.59|2MASS J04284735+1622448            |*  |04 28 47.3519329896 +16 22 44.852851164|     ~   |     ~   |     ~   |     ~   |~              
178 |   2408.19|WDS J04280+1629A                   |PM*|04 28 00.5149054992 +16 29 24.864067716|     ~   |     ~   |     ~   |     ~   |~              
179 |   2408.20|WDS J04280+1629B                   |PM*|04 28 00.3737395080 +16 29 25.657848888|     ~   |     ~   |     ~   |     ~   |~              
180 |   2408.43|Cl* Melotte 25 VA 465              |** |04 28 00.434 +16 29 25.57              |     ~   |16.22    |14.62    |13.59    |~              
181 |   2417.94|IRAS 04230+1622                    |*  |04 25 52.7992340568 +16 28 55.677022428|     ~   |13.30    |11.26    |10.79    |~              
182 |   2445.41|V* V1104 Tau                       |BY*|04 29 00.1510553808 +16 20 46.807036080|     ~   |15.81    |14.28    |14.11    |M1.5           
183 |   2448.35|GSC 01265-00899                    |*  |04 28 52.3583569248 +16 22 36.561776340|     ~   |     ~   |     ~   |     ~   |~              
184 |   2464.36|[TSA98] J042859.60+162121.37       |X  |04 28 59.60 +16 21 21.4                |     ~   |     ~   |     ~   |     ~   |~              
185 |   2477.43|Gaia DR3 3312917148255224064       |PM*|04 28 48.0322166808 +16 24 07.308567864|     ~   |     ~   |     ~   |     ~   |~              
186 |   2477.53|Cl* Melotte 25 VA 497              |** |04 28 48.017 +16 24 07.61              |     ~   |17.01    |15.44    |14.88    |~              
187 |   2477.64|Gaia DR3 3312917152551033344       |PM*|04 28 47.9649965664 +16 24 08.354683908|     ~   |     ~   |     ~   |     ~   |~              
188 |   2479.80|2MASX J04244126+1616262            |LSB|04 24 41.2563177264 +16 16 26.329679904|     ~   |     ~   |     ~   |     ~   |~              
189 |   2485.50|LAMOST J042430.10+161228.0         |*  |04 24 30.103 +16 12 28.00              |     ~   |     ~   |12.887   |     ~   |A9/F3          
190 |   2486.65|RX J0429.8+1548                    |X  |04 29 51.8 +15 48 47                   |     ~   |     ~   |     ~   |     ~   |~              
191 |   2486.83|Cl* Melotte 25 VA 555              |PM*|04 29 46.8475651176 +15 41 40.329741948|     ~   |16.67    |16.0     |15.33    |~              
192 |   2492.83|Gaia DR3 3311266407640342912       |Y*?|04 24 27.5143527048 +15 32 31.309926576|     ~   |     ~   |     ~   |     ~   |~              
193 |   2492.87|TYC 1265-697-1                     |*  |04 28 55.0651135080 +16 23 01.515534576|     ~   |12.31    |11.93    |     ~   |~              
194 |   2495.47|ATO J066.1156+15.5387              |V* |04 24 27.7400265666 +15 32 19.633686013|     ~   |     ~   |     ~   |     ~   |~              
195 |   2502.88|HG 7-239                           |PM*|04 29 13.9758565848 +15 25 32.698458876|     ~   |13.99    |12.93    |12.37    |~              
196 |   2503.67|Cl* Melotte 25 LH 148              |LM*|04 24 33.8007091680 +15 29 34.475438328|     ~   |     ~   |     ~   |     ~   |M6             
197 |   2509.08|Cl* Melotte 25 VA 337              |*  |04 24 52.922 +15 23 29.52              |     ~   |19.44    |17.7     |     ~   |~              
198 |   2512.15|PSZ2 G179.33-22.22                 |C?G|04 25 30.1282 +16 27 52.780            |     ~   |     ~   |     ~   |     ~   |~              
